Ramp Rate (PSI/s),Elapsed Time (s),Transducer Voltage (V),Transducer Pressure (PSI),Alicat Pressure (PSIA),Alicat Gauge (PSIG),Alicat Barometric (PSIA),Alicat Setpoint (PSIA),Offset Gauge (Transducer - AlicatGauge),Offset Absolute (Transducer - AlicatAbs)
2.0,9.20253324508667,4.679537296295166,120.1572505382807,13.27,-0.19100000000000072,13.461,20.0,120.34825053828071,106.88725053828071
2.0,9.457595825195312,4.679662227630615,120.1604659407205,13.27,-0.19100000000000072,13.461,20.0,120.3514659407205,106.8904659407205
2.0,9.713532447814941,4.684263706207275,120.21531218581596,13.28,-0.18100000000000094,13.461,20.0,120.39631218581596,106.93531218581596
2.0,9.969214916229248,4.679774284362793,120.19659158166169,13.28,-0.18100000000000094,13.461,20.0,120.37759158166169,106.91659158166169
2.0,10.227370738983154,4.679344654083252,120.18041847095441,13.29,-0.17100000000000115,13.461,20.0,120.35141847095441,106.89041847095442
2.0,10.480205059051514,4.679206371307373,120.16912435260743,13.29,-0.17100000000000115,13.461,20.0,120.34012435260743,106.87912435260742
2.0,10.739312171936035,4.679694175720215,120.16795763234693,13.3,-0.1609999999999996,13.461,20.0,120.32895763234693,106.86795763234693
2.0,10.991600036621094,4.680355548858643,120.17486339128254,13.3,-0.1609999999999996,13.461,20.0,120.33586339128254,106.87486339128255
2.0,11.249202489852905,4.677343845367432,120.14437225649499,13.31,-0.1509999999999998,13.461,20.0,120.29537225649499,106.83437225649499
2.0,11.50348448753357,4.678621292114258,120.14076821321096,13.31,-0.1509999999999998,13.461,20.0,120.29176821321096,106.83076821321096
2.0,11.759837627410889,4.680524826049805,120.16049642749933,13.31,-0.1509999999999998,13.461,20.0,120.31149642749932,106.85049642749932
2.0,12.014827251434326,4.683977127075195,120.21203481786434,13.32,-0.14100000000000001,13.461,20.0,120.35303481786434,106.89203481786433
2.0,12.270185470581055,4.679910182952881,120.19618799467673,13.32,-0.14100000000000001,13.461,20.0,120.33718799467674,106.87618799467674
2.0,12.526106834411621,4.714413166046143,120.58346420633667,13.32,-0.14100000000000001,13.461,20.0,120.72446420633668,107.26346420633666
2.0,12.781798601150513,4.680019855499268,120.42030686204357,13.33,-0.13100000000000023,13.461,20.0,120.55130686204357,107.09030686204358
2.0,13.03735065460205,4.680543422698975,120.32843347826434,13.33,-0.13100000000000023,13.461,20.0,120.45943347826434,106.99843347826435
2.0,13.292793273925781,4.680575370788574,120.2736768510272,13.33,-0.13100000000000023,13.461,20.0,120.4046768510272,106.9436768510272
2.0,13.550652503967285,4.67948055267334,120.22823246635973,13.34,-0.12100000000000044,13.461,20.0,120.34923246635972,106.88823246635972
2.0,13.806063175201416,4.711069107055664,120.56423421095597,13.34,-0.12100000000000044,13.461,20.0,120.68523421095597,107.22423421095597
2.0,14.061243057250977,4.680751800537109,120.41718623275034,13.34,-0.12100000000000044,13.461,20.0,120.53818623275033,107.07718623275034
2.0,14.319122076034546,4.719465255737305,120.7741621806292,13.35,-0.11100000000000065,13.461,20.0,120.88516218062921,107.42416218062921
2.0,14.573729753494263,4.721235275268555,121.0087029739659,13.35,-0.11100000000000065,13.461,20.0,121.1197029739659,107.6587029739659
2.0,14.833895683288574,4.7186689376831055,121.11991456773525,13.35,-0.11100000000000065,13.461,20.0,121.23091456773525,107.76991456773526
2.0,15.0880765914917,4.679757118225098,120.73915560022976,13.36,-0.10100000000000087,13.461,20.0,120.84015560022976,107.37915560022977
2.0,15.344058275222778,4.679306507110596,120.5055181919097,13.36,-0.10100000000000087,13.461,20.0,120.6065181919097,107.1455181919097
2.0,15.595977067947388,4.679664611816406,120.36945395103449,13.36,-0.10100000000000087,13.461,20.0,120.47045395103449,107.00945395103449
2.0,15.855700492858887,4.718048095703125,120.72922547120663,13.36,-0.10100000000000087,13.461,20.0,120.83022547120663,107.36922547120663
2.0,16.113988637924194,4.724146842956543,121.01522397672422,13.37,-0.09100000000000108,13.461,20.0,121.10622397672421,107.64522397672421
2.0,16.372727870941162,4.7201995849609375,121.14142961308531,13.37,-0.09100000000000108,13.461,20.0,121.23242961308532,107.7714296130853
2.0,16.627183437347412,4.719267845153809,121.20643798711998,13.37,-0.09100000000000108,13.461,20.0,121.29743798711999,107.83643798711998
2.0,16.885664701461792,4.721914291381836,121.2758771431631,13.37,-0.09100000000000108,13.461,20.0,121.3668771431631,107.9058771431631
2.0,17.14506721496582,4.720836639404297,121.30514763904728,13.37,-0.09100000000000108,13.461,20.0,121.39614763904729,107.93514763904727
2.0,17.396151542663574,4.719162940979004,121.30346240468691,13.38,-0.08099999999999952,13.461,20.0,121.38446240468691,107.92346240468692
2.0,17.646368503570557,4.718380451202393,121.29345263163965,13.38,-0.08099999999999952,13.461,20.0,121.37445263163966,107.91345263163966
2.0,17.89921808242798,4.717465400695801,121.2769236869855,13.38,-0.08099999999999952,13.461,20.0,121.3579236869855,107.8969236869855
2.0,18.156736373901367,4.72001314163208,121.29630534096022,13.38,-0.08099999999999952,13.461,20.0,121.37730534096022,107.91630534096022
